id;name;source_id;node_id;lat;long;country_code;is_bothDirection;lat_mean;length_km;long_mean;max_pressure_bar;num_compressor;start_year;Capacity_GWh_h;diameter_mm
INET_PL_3760;MEGAL_Nord_Loop_10;['INET_PL_376'];['INET_N_163', 'INET_N_162'];[49.644, 49.633];[12.496, 12.319];['DE', 'DE'];0.0;49.6385;12.80846972657979;12.4075;80.0;0.0;1983;18.21666666666667;1100.0
INET_PL_3761;MEGAL_Nord_Loop_11;['INET_PL_376'];['INET_N_162', 'INET_N_161'];[49.633, 49.5845];[12.319, 11.6307];['DE', 'DE'];0.0;49.60875;49.90309094659248;11.97485;80.0;0.0;1983;18.21666666666667;1100.0
INET_PL_3762;MEGAL_Nord_Loop_12;['INET_PL_376'];['INET_N_161', 'INET_N_159'];[49.5845, 49.529];[11.6307, 10.92];['DE', 'DE'];0.0;49.55675;51.65002454968709;11.27535;80.0;0.0;1983;18.21666666666667;1100.0
INET_PL_3763;MEGAL_Nord_Loop_13;['INET_PL_376'];['INET_N_159', 'INET_N_168'];[49.529, 49.841916];[10.92, 9.948338];['DE', 'DE'];0.0;49.685458;78.10722913775813;10.434169;80.0;0.0;1983;18.21666666666667;1100.0
INET_PL_3764;MEGAL_Nord_Loop_14;['INET_PL_376'];['INET_N_168', 'INET_N_164'];[49.841916, 49.743662];[9.948338, 8.55088];['DE', 'DE'];0.0;49.792789;100.93613357293995;9.249609;80.0;0.0;1983;18.21666666666667;1100.0
INET_PL_3765;MEGAL_Nord_Loop_15;['INET_PL_376'];['INET_N_164', 'INET_N_156'];[49.743662, 49.376405];[8.55088, 7.567024];['DE', 'DE'];0.0;49.5600335;81.89850105170551;8.058952;80.0;0.0;1983;18.21666666666667;1100.0
INET_PL_3766;MEGAL_Nord_Loop_16;['INET_PL_376'];['INET_N_156', 'INET_N_151'];[49.376405, 49.11];[7.567024, 7.22];['DE', 'DE'];0.0;49.243202499999995;38.89833129123257;7.393511999999999;80.0;0.0;1983;18.21666666666667;1100.0
INET_PL_3840;MEGAL_Sued_1_10;['INET_PL_384'];['INET_N_162', 'INET_N_153'];[49.633, 49.3198883];[12.319, 12.1091352];['DE', 'DE'];0.0;49.476444150000006;37.98677960861563;12.2140676;67.5;0.0;1983;9.166666666666664;800.0
INET_PL_3841;MEGAL_Sued_1_11;['INET_PL_384'];['INET_N_153', 'INET_N_146'];[49.3198883, 48.944];[12.1091352, 12.7594];['DE', 'DE'];0.0;49.13194415;63.148926380486614;12.4342676;67.5;0.0;1983;9.166666666666664;800.0
INET_PL_3842;MEGAL_Sued_1_12;['INET_PL_384'];['INET_N_146', 'INET_N_141'];[48.944, 48.573853];[12.7594, 13.721864];['DE', 'DE'];0.0;48.7589265;81.70407517247548;13.240632;67.5;0.0;1983;9.166666666666664;800.0
