,index,amount,max_cap_M_m3_per_d,dataset
0,0,181.0,6616.939280551316,IGG
1,1,182.0,6652.038204601034,INET_Filled
2,2,183.0,859.56,INET_Raw
3,3,13.0,no_info,LKD_Raw
