,index,amount,max_cap_store2pipe_M_m3_per_d,max_workingGas_M_m3,median_cap_store2pipe_M_m3_per_d,dataset
0,0,18.0,481.38022058399997,4032.4616000000005,477.4677099780001,GIE_Raw
1,1,24.0,547.131057135739,4500.3770702631155,548.3149410784587,IGG
2,2,24.0,517.0172660937227,5654.716097132354,no_info,INET_Filled
3,3,27.0,511.6438356164383,5606.054271999999,no_info,INET_Raw
