id,value
nl-tso-0001itp-00076exit,0.0
it-tso-0001itp-00074entry,12039435.1875
hu-tso-0001itp-00032entry,0.0
fr-tso-0002itp-00304entry,7015124.0
cz-tso-0001itp-00535entry,29306452.0
hu-tso-0001itp-00095entry,21546000.0
sk-tso-0001itp-00421exit,38104668.0
de-tso-0010itp-00291exit,1060848.0
de-tso-0009itp-00060exit,0.0
at-tso-0001itp-00007exit,5165381.0
de-tso-0001itp-00076exit,13959486.0
pl-tso-0002itp-00497entry,2549800.0
fr-tso-0003itp-00526entry,24331444.9
nl-tso-0001itp-00305exit,3117.8
fr-tso-0002itp-00304exit,9423504.0
cz-tso-0001itp-00010entry,24242831.0
de-tso-0009itp-00244entry,100162.634
de-tso-0004itp-00540exit,10944000.0
be-tso-0001itp-00519entry,
nl-tso-0001ugs-00265entry,4286805.6
nl-tso-0001ugs-00395entry,6258121.0
cz-tso-0001itp-00535exit,0.0
at-tso-0001itp-00162entry,25368670.0
lt-tso-0001itp-00054entry,2023735.0
de-tso-0014itp-00228exit,262641.0
it-tso-0001itp-00093entry,19872025.483125
be-tso-0001itp-00106exit,0.0
si-tso-0001itp-00042entry,0.0
de-tso-0020itp-00451exit,24266816.0
be-tso-0001itp-00101exit,12563429.0
it-tso-0001itp-00049entry,1221036.8900219998
nl-tso-0001itp-00259exit,16720794.6
de-tso-0009itp-00031entry,0.0
at-tso-0001itp-00079exit,3878954.0
de-tso-0009itp-00080entry,18344959.48
nl-tso-0001ugs-00396entry,1504594.0
de-tso-0004itp-00083entry,
fr-tso-0003itp-00115entry,9357783.0
pl-tso-0002itp-00497exit,80.0
de-tso-0016itp-00452exit,24810817.0
de-tso-0009itp-00006exit,10618080.0
de-tso-0009itp-00294exit,14449233.703
de-tso-0005itp-00109entry,0.0
hu-tso-0001itp-00011exit,2412000.0
be-tso-0001itp-00112entry,5969730.0
be-tso-0001itp-00061exit,11616311.0
nl-tso-0001ugs-00267entry,5750278.0
cz-tso-0001itp-00015entry,13988013.0
bg-tso-0001itp-00128exit,3964975.0
de-tso-0006itp-00118entry,3379581.0
de-tso-0005itp-00491entry,52177973.0
de-tso-0001itp-00150exit,14655715.0
hu-tso-0001itp-00027entry,5360942.0
de-tso-0009itp-00103entry,0.0
bg-tso-0001itp-00549entry,13851647.0
at-tso-0003itp-00040exit,51854127.0
de-tso-0004itp-00083exit,10944000.0
de-tso-0001itp-00535exit,29605547.0
de-tso-0009itp-00060entry,16727461.25
at-tso-0003itp-00040entry,0.0
fr-tso-0003itp-00281exit,3785190.8
it-tso-0001itp-00136entry,23341157.4445
be-tso-0001itp-00110exit,3700001.0
nl-tso-0001ugs-00271exit,1909651.5
uk-tso-0003itp-00061exit,11101003.0
pl-tso-0001itp-00096exit,36842507.0
bg-tso-0001itp-00059entry,25993520.0
pl-tso-0002itp-00280exit,3267188.0
de-tso-0007itp-00068entry,12432323.0
de-tso-0009itp-00542entry,6631461.035
de-tso-0007itp-00068exit,0.0
si-tso-0001itp-00079entry,3878530.0
pt-tso-0001itp-00286exit,2129957.0
cz-tso-0001itp-00158exit,1133670.0
hu-tso-0001itp-00027exit,0.0
de-tso-0002itp-00026entry,16726662.0
sk-tso-0001itp-00168entry,0.0
de-tso-0009itp-00078entry,15525954.973
be-tso-0001itp-00115exit,8879653.0
de-tso-0003itp-00497entry,10764.231000000002
fr-tso-0003itp-00045entry,25389256.0
it-tso-0001itp-00049exit,475873.356819
cz-tso-0001itp-00123exit,270.0
de-tso-0005itp-00109exit,7349169.0
de-tso-0009ugs-00476entry,
nl-tso-0001ugs-00269exit,1090000.0
de-tso-0004itp-00056entry,8917699.0
de-tso-0007itp-00057exit,0.0
de-tso-0001itp-00501entry,0.0
lt-tso-0001itp-00054exit,2370399.0
be-tso-0001itp-00101entry,0.0
de-tso-0009itp-00542exit,0.0
de-tso-0018itp-00297exit,0.0
de-tso-0010itp-00007entry,5169217.0
lu-tso-0001itp-00072exit,0.0
cz-tso-0001itp-00150entry,14030245.0
bg-tso-0001itp-00036exit,1324680.0
gr-tso-0001itp-00128entry,3962878.0
cz-tso-0001itp-00538entry,0.0
es-tso-0006itp-00286entry,6843655.0
de-tso-0005itp-00188entry,32001380.0
uk-tso-0004itp-00207entry,6934953.8
de-tso-0005itp-00535exit,29604677.0
at-tso-0001itp-00162exit,0.0
sk-tso-0001itp-00168exit,72539330.0
de-tso-0007itp-00544exit,14419741.0
ie-tso-0001itp-00222entry,0.0
de-tso-0020itp-00454entry,42947819.0
de-tso-0003itp-00535exit,29603300.0
de-tso-0014itp-00229entry,
de-tso-0001itp-00076entry,0.0
nl-tso-0001ugs-00001entry,525982.0
gr-tso-0001itp-00046entry,2033618.0
de-tso-0001itp-00112entry,5443353.0
es-tso-0006itp-00286exit,64732083.0
de-tso-0002itp-00025entry,299199.0
de-tso-0005itp-00501entry,0.0
pt-tso-0001itp-00286entry,3649587.0
bg-tso-0001itp-00059exit,0.0
be-tso-0001itp-00106entry,20412275.0
de-tso-0009itp-00103exit,18068912.702
de-tso-0005itp-00102exit,2089279.0
nl-tso-0001ugs-00270entry,4793977.5
be-tso-0001itp-00258entry,8752491.0
nl-tso-0001itp-00025exit,298888.9
cz-tso-0001itp-00538exit,0.0
nl-tso-0001itp-00107exit,6620022.2
cz-tso-0001itp-00537exit,23549491.0
de-tso-0017itp-00247entry,52176446.0
fr-tso-0003itp-00039exit,11330694.0
nl-tso-0001ugs-00395exit,2338888.9
it-tso-0001itp-00278exit,421436.25
de-tso-0009itp-00126entry,32001380.051
de-tso-0003itp-00501entry,0.0
nl-tso-0001ugs-00268entry,5745277.8
uk-tso-0003itp-00061entry,11616311.0
de-tso-0010itp-00019entry,2164072.0
pl-tso-0001itp-00104entry,43646968.0
lu-tso-0001itp-00072entry,1118477.0
nl-tso-0001itp-00071exit,42904.2
pl-tso-0002itp-00092entry,7612836.0
hu-tso-0001itp-00011entry,0.0
fr-tso-0003itp-00526exit,
nl-tso-0001ugs-00268exit,4113703.7
it-tso-0001itp-00040exit,
nl-tso-0001ugs-00001exit,154166.7
fr-tso-0003itp-00115exit,
cz-tso-0001itp-00139entry,0.0
be-tso-0001itp-00542exit,6632058.0
nl-tso-0001itp-00151exit,2991957.9
lt-tso-0001itp-00085entry,6306182.0
lu-tso-0001itp-00113entry,2021740.0
de-tso-0010itp-00308exit,2424451.0
cz-tso-0001itp-00015exit,1689156.0
ee-tso-0001itp-00187entry,993902.628
nl-tso-0001itp-00076entry,13983333.3
nl-tso-0001ugs-00270exit,1269583.3
nl-tso-0001ugs-00265exit,3470833.0
de-tso-0001itp-00096entry,36841310.0
de-tso-0004itp-00073entry,36303220.0
cz-tso-0001itp-00139exit,36301323.0
de-tso-0007itp-00057entry,6639472.0
bg-tso-0001itp-00128entry,1596000.0
nl-tso-0001itp-00102exit,2880784.8
hu-tso-0001itp-00055exit,8181000.0
pl-tso-0002itp-00094entry,258187.0
de-tso-0014itp-00227exit,844240.0
at-tso-0001itp-00019exit,2158037.0
be-tso-0001itp-00112exit,5444288.0
de-tso-0014itp-00227entry,
uk-tso-0001itp-00090exit,188822100.0
de-tso-0005itp-00081entry,14167887.0
de-tso-0004itp-00056exit,10596140.0
at-tso-0001itp-00140entry,10618080.0
de-tso-0003itp-00015entry,2210160.0
dk-tso-0001itp-00135exit,0.0
nl-tso-0001itp-00102entry,2089279.3
sk-tso-0001itp-00027exit,3640000000.0
cz-tso-0001itp-00150exit,0.0
sk-tso-0001itp-00051exit,11836688.0
nl-tso-0001itp-00160entry,40471122.2
de-tso-0018itp-00297entry,51611658.0
nl-tso-0001ugs-00269entry,1899363.6
be-tso-0001itp-00110entry,0.0
de-tso-0001itp-00537exit,63631242.0
at-tso-0003itp-00037entry,59155685.0
fr-tso-0003itp-00137entry,11140776.0
at-tso-0001itp-00043exit,6571098.0
bg-tso-0001itp-00153entry,636528.0
nl-tso-0001itp-00103entry,18068912.7
nl-tso-0001itp-00305entry,
nl-tso-0001ugs-00267exit,3864722.2
de-tso-0009itp-00538exit,0.0
pl-tso-0002itp-00089entry,6636123.0
be-tso-0001itp-00088entry,3200831.0
de-tso-0009ugs-00476exit,
it-tso-0001itp-00040entry,51619807.697239004
bg-tso-0001itp-00041exit,19535040.0
be-tso-0001itp-00519exit,
be-tso-0001itp-00113entry,0.0
nl-tso-0001itp-00118exit,3379581.2
nl-tso-0001itp-00258exit,8761146.6
be-tso-0001itp-00038entry,21442166.0
lt-tso-0001itp-00050exit,5139301.0
es-tso-0006itp-00304exit,22188101.0
gr-tso-0001itp-00046exit,
sk-tso-0001itp-00051entry,29203052.0
de-tso-0007itp-00294exit,14419741.0
nl-tso-0001itp-00101exit,0.0
de-tso-0009itp-00066entry,12365325.875
uk-tso-0004itp-00207exit,13733947.1
sk-tso-0001itp-00421entry,0.0
sk-tso-0001itp-00117entry,92796930.0
nl-tso-0001ugs-00396exit,648888.9
de-tso-0014itp-00228entry,
fr-tso-0003itp-00281entry,0.0
pl-tso-0002itp-00158entry,1645661.0
de-tso-0009itp-00072exit,1118478.0
it-tso-0001itp-00283exit,
si-tso-0001itp-00049exit,1219851.0
nl-tso-0001itp-00038exit,21442011.0
cz-tso-0001itp-00158entry,0.0
es-tso-0006itp-00304entry,31331125.0
at-tso-0001itp-00255exit,0.0
nl-tso-0001itp-00088exit,3200000.0
at-tso-0001itp-00019entry,2503965.0
de-tso-0007itp-00544entry,0.0
gr-tso-0001itp-00128exit,1673559.0
de-tso-0005itp-00102entry,2880785.0
de-tso-0005itp-00107entry,6620375.0
si-tso-0001itp-00042exit,2462550.0
lu-tso-0001itp-00113exit,0.0
si-tso-0001itp-00049entry,479016.0
de-tso-0010itp-00308entry,2887091.0
de-tso-0010itp-00007exit,5369062.0
nl-tso-0001itp-00103exit,0.0
nl-tso-0001ugs-00271entry,3881805.6
cz-tso-0001itp-00010exit,0.0
de-tso-0009itp-00006entry,8845127.0
ie-tso-0001itp-00222exit,
cz-tso-0001itp-00051entry,9056130.0
nl-tso-0001itp-00071entry,
de-tso-0007itp-00294entry,0.0
nl-tso-0001itp-00169exit,12379405.2
de-tso-0003itp-00015exit,4766200.0
sk-tso-0001itp-00027entry,0.0
nl-tso-0001itp-00244exit,100162.6
be-tso-0001itp-00113exit,2021740.0
de-tso-0001itp-00537entry,2210160.0
de-tso-0009itp-00525entry,32001380.051
bg-tso-0001itp-00058entry,3787840.0
de-tso-0001itp-00112exit,5994501.0
nl-tso-0001itp-00078exit,15525955.0
de-tso-0004itp-00540entry,
de-tso-0003itp-00497exit,1493197624.974
sk-tso-0001itp-00117exit,0.0
be-tso-0001itp-00061entry,11101003.0
nl-tso-0001itp-00101entry,12565416.7
de-tso-0009itp-00019entry,2158037.0
hu-tso-0001itp-00032exit,3452000.0
pl-tso-0001itp-00096entry,0.0
de-tso-0009itp-00539exit,10618080.0
at-tso-0001itp-00007entry,5375557.0
de-tso-0009itp-00539entry,8772024.0
de-tso-0001itp-00123entry,0.0
be-tso-0001itp-00526exit,19608675.0
be-tso-0001itp-00542entry,0.0
bg-tso-0001itp-00058exit,2585322.0
de-tso-0009itp-00047exit,10953308.0
de-tso-0016itp-00251entry,42947819.0
de-tso-0002itp-00105exit,
cz-tso-0001itp-00123entry,0.0
cz-tso-0001itp-00051exit,29382848.0
at-tso-0001itp-00062entry,22553462.0
ee-tso-0001itp-00243entry,0.0
de-tso-0009itp-00069entry,36301292.0
be-tso-0001itp-00526entry,45569608.0
nl-tso-0001ugs-00266exit,1867639.0
nl-tso-0001ugs-00266entry,6562639.0
de-tso-0001itp-00096exit,0.0
dk-tso-0001itp-00135entry,7362125.0
bg-tso-0001itp-00153exit,1114361.0
de-tso-0009itp-00538entry,36301292.0
de-tso-0009itp-00282exit,
at-tso-0001itp-00140exit,8931010.0
cz-tso-0001itp-00537entry,0.0
hu-tso-0001itp-00307exit,6680000.0
de-tso-0014itp-00229exit,131.0
de-tso-0009itp-00244exit,0.0
de-tso-0009itp-00111entry,2018139.541
de-tso-0002itp-00105entry,14290741.0
