id;name;source_id;node_id;lat;long;country_code;is_bothDirection;lat_mean;length_km;long_mean;max_pressure_bar;start_year;Capacity_GWh_h;diameter_mm
PLS_5040_Seg_0_Seg_0;PLS_5040_Seg_0_Seg_0;['EntsoG_Map_100826'];['SEQ_2817__M_LMGN', 'N_1153_S_LMGN'];[34.40696, 34.9137];[0.03013, 0.3069];['XX', 'XX'];0.0;34.69397;65.3533;0.18271;70.0;1983.0;9.450837530389016;
PLS_5041_Seg_0_Seg_0;PLS_5041_Seg_0_Seg_0;['EntsoG_Map_100842'];['SEQ_1427__L_LMGN', 'N_1153_S_LMGN'];[35.02902, 34.9137];[0.02766, 0.3069];['XX', 'XX'];0.0;34.9642;28.62312;0.18352;70.0;1983.0;9.450837530389016;
PLS_5043_Seg_0_Seg_0;PLS_5043_Seg_0_Seg_0;['EntsoG_Map_100993'];['SEQ_4609__L_LMGN', 'N_1461_S_LMGN'];[32.33065, 32.55411];[1.46306, 1.37294];['XX', 'XX'];0.0;32.43657;26.92476;1.4063;70.0;1983.0;32.860425829422105;
PLS_5044_Seg_0_Seg_0;PLS_5044_Seg_0_Seg_0;['EntsoG_Map_101051'];['N_1462_S_LMGN', 'SEQ_4795__L_LMGN'];[36.93405, 36.88386];[-5.99277, -5.73253];['ES', 'ES'];0.0;36.94941;32.278;-5.84897;70.0;1983.0;32.860425829422105;
PLS_5047_Seg_0_Seg_0;PLS_5047_Seg_0_Seg_0;['EntsoG_Map_101414'];['SEQ_3353__M_LMGN', 'N_1468_S_LMGN'];[40.62185, 40.72048];[-8.53512, -8.53851];['PT', 'PT'];0.0;40.66964;11.16278;-8.54078;70.0;1983.0;9.450837530389016;692.8629787234044
PLS_5048_Seg_0_Seg_0;PLS_5048_Seg_0_Seg_0;['EntsoG_Map_101601'];['N_672_S_LMGN', 'N_1469_S_LMGN'];[42.43113, 42.37593];[-8.51635, -7.97414];['ES', 'ES'];0.0;42.40718;45.70205;-8.24535;70.0;1983.0;10.257814009682804;
PLS_5050_Seg_0_Seg_0;PLS_5050_Seg_0_Seg_0;['EntsoG_Map_101832'];['SEQ_3365__M_LMGN', 'N_1473_S_LMGN'];[41.24207, 41.20397];[-8.48336, -8.69011];['PT', 'PT'];0.0;41.23848;20.77643;-8.60667;70.0;1983.0;10.257814009682804;
PLS_5057_Seg_0_Seg_0;PLS_5057_Seg_0_Seg_0;['EntsoG_Map_102630'];['N_1475_S_LMGN', 'N_736_M_LMGN'];[45.54719, 45.43066];[9.71864, 9.64454];['IT', 'IT'];0.0;45.48801;14.32213;9.6765;70.0;1983.0;17.04749622167536;
PLS_5062_Seg_0_Seg_0;PLS_5062_Seg_0_Seg_0;['EntsoG_Map_103020'];['N_1480_S_LMGN', 'N_1482_S_LMGN'];[44.01501, 44.07841];[15.66279, 15.33553];['HR', 'HR'];0.0;44.03723;28.24717;15.48939;70.0;1983.0;0.3208333333333333;
PLS_5063_Seg_0_Seg_0;PLS_5063_Seg_0_Seg_0;['EntsoG_Map_103030'];['N_1483_S_LMGN', 'N_1247_S_LMGN'];[45.93711, 45.8461];[16.55643, 16.66144];['HR', 'HR'];0.0;45.89073;12.98336;16.60989;70.0;1983.0;3.2625;
PLS_5067_Seg_0_Seg_0;PLS_5067_Seg_0_Seg_0;['EntsoG_Map_103318'];['SEQ_13729__S_LMGN', 'N_1486_S_LMGN'];[40.88158, 41.07635];[14.48032, 14.51908];['IT', 'IT'];0.0;40.98492;22.83265;14.48808;70.0;1983.0;9.450837530389016;692.8629787234044
PLS_5071_Seg_0_Seg_0;PLS_5071_Seg_0_Seg_0;['EntsoG_Map_103660'];['N_432_M_LMGN', 'SEQ_11107__S_LMGN'];[44.50445, 44.47069];[8.79519, 8.95094];['IT', 'IT'];0.0;44.48985;13.32523;8.88463;70.0;1983.0;19.30775740364929;410.7540856031128
