id;name;source_id;node_id;lat;long;country_code;is_bothDirection;Capacity_GWh_h;diameter_mm
INET_PL_1;AlcazarDeSanJuan_Chinchilla;['INET_PL_1'];['INET_N_338', 'INET_N_335'];[39.3900748, 38.892435];[-3.3500984, -1.719831];['ES', 'ES'];0.0;18.268730224978743;983.095425910074
INET_PL_3;Tarancon_Madrid;['INET_PL_3'];['INET_N_341', 'INET_N_342'];[40.01, 40.223];[-3.207, -3.681];['ES', 'ES'];0.0;18.268730224978743;983.095425910074
INET_PL_5;Alessandria_Cortemaggiore;['INET_PL_5'];['INET_N_737', 'INET_N_735'];[44.991076, 44.90008];[9.920891, 8.60944];['IT', 'IT'];0.0;15.279481036309164;914.4
INET_PL_7;Almendralejo_Badajoz;['INET_PL_7'];['INET_N_332', 'INET_N_334'];[38.711202, 38.87665];[-6.382539, -6.9714];['ES', 'ES'];0.0;18.268730224978743;983.095425910074
INET_PL_9;Almendralejo_Zamora;['INET_PL_9'];['INET_N_332', 'INET_N_351'];[38.711202, 41.506];[-6.382539, -5.644];['ES', 'ES'];0.0;18.268730224978743;983.095425910074
INET_PL_11;Altamura_Candela;['INET_PL_11'];['INET_N_690', 'INET_N_687'];[41.136273, 40.827134];[15.514454, 16.553126];['IT', 'IT'];0.0;30.18186509367594;1219.0
INET_PL_13;Altamura_Latiano;['INET_PL_13'];['INET_N_682', 'INET_N_687'];[40.550803, 40.827134];[17.717742, 16.553126];['IT', 'IT'];0.0;2.0229771098398155;508.0
INET_PL_15;Altamura_MonteAlpi;['INET_PL_15'];['INET_N_686', 'INET_N_687'];[40.626457, 40.827134];[15.985341, 16.553126];['IT', 'IT'];0.0;2.0229771098398155;508.0
INET_PL_17;Altamura_Palagiano;['INET_PL_17'];['INET_N_683', 'INET_N_687'];[40.578453, 40.827134];[17.038207, 16.553126];['IT', 'IT'];0.0;30.18186509367594;1219.0
INET_PL_19;Chazelles_Roussines;['INET_PL_19'];['INET_N_422', 'INET_N_431'];[45.64714, 46.463];[0.367019, 1.38];['FR', 'FR'];0.0;18.268730224978743;983.095425910074
INET_PL_21;Arad_Szeged;['INET_PL_21'];['INET_N_967', 'INET_N_626'];[46.1817, 46.302801];[21.31056, 20.194969];['RO', 'HU'];0.0;4.9929398148148145;700.0
INET_PL_23;Arnoldstein_Tarvisio_Extra;['INET_PL_23'];['INET_N_779', 'INET_N_6'];[46.505528, 46.5499903];[13.592806, 13.7057619];['IT', 'AT'];0.0;47.86666666666667;983.095425910074
