pointKey,from,to,inter,firm,physical,final_value
ITP-00140,DE,AT,17657575.0,10235706.0,10618080.0,27893281.0
ITP-00147,BE,FR,0.0,18311349.0,0.0,18311349.0
ITP-00147,FR,BE,0.0,1839369.0,0.0,1839369.0
ITP-00150,DE,CZ,20000000.0,11988000.0,14655715.0,31988000.0
ITP-00151,NL,DE,0.0,4200000.0,2991957.9,4200000.0
ITP-00159,BE,DE,0.0,11300000.0,0.0,11300000.0
ITP-00159,DE,BE,0.0,10000000.0,0.0,10000000.0
ITP-00160,NO,NL,999999999.0,999999999.0,40471122.2,1999999998.0
ITP-00161,NL,NO,0.0,0.0,0.0,0.0
ITP-00161,NO,NL,0.0,0.0,0.0,0.0
ITP-00162,AT,SK,8218800.0,10272000.0,0.0,18490800.0
ITP-00162,SK,AT,20615106.0,19907000.0,25368670.0,40522106.0
ITP-00169,NL,DE,999999999.0,22300000.0,12379405.2,1022299999.0
ITP-00188,NO,DE,0.0,6383265.0,32001380.0,32001380.0
ITP-00207,NL,UK,20600000.0,20600000.0,13733947.1,41200000.0
ITP-00207,UK,NL,0.0,7000000.0,6934953.8,7000000.0
ITP-00211,NO,DE,0.0,0.0,0.0,0.0
ITP-00222,IE,UK,0.0,0.0,0.0,0.0
ITP-00222,UK,IE,0.0,0.0,0.0,0.0
ITP-00227,AT,DE,0.0,0.0,0.0,0.0
ITP-00227,DE,AT,296000.0,1060000.0,844240.0,1356000.0
ITP-00228,CH,DE,0.0,0.0,0.0,0.0
ITP-00228,DE,CH,368000.0,331200.0,262641.0,699200.0
ITP-00229,CH,DE,0.0,0.0,0.0,0.0
ITP-00229,DE,CH,437551.0,0.0,131.0,437551.0
ITP-00244,DE,NL,0.0,0.0,0.0,0.0
ITP-00244,NL,DE,999999999.0,197000.0,100162.634,1000196999.0
ITP-00247,RU,DE,15000000.0,15021164.0,52176446.0,52176446.0
ITP-00251,RU,DE,15864532.0,20451269.0,42947819.0,42947819.0
ITP-00252,DE,PL,0.0,22492.0,0.0,22492.0
ITP-00253,PL,DE,0.0,3626.0,0.0,3626.0
ITP-00255,AT,SK,4364100.0,0.0,0.0,4364100.0
ITP-00258,NL,BE,999999999.0,18000000.0,8761146.6,1017999999.0
ITP-00259,NL,DE,999999999.0,28917556.0,16720794.6,1028917555.0
ITP-00282,DE,AT,0.0,0.0,0.0,0.0
ITP-00291,DE,AT,0.0,1086543.0,1060848.0,1086543.0
ITP-00294,CH,DE,0.0,0.0,0.0,0.0
ITP-00294,DE,CH,0.0,6310609.0,14449233.703,14449233.703
ITP-00297,DE,RU,0.0,0.0,0.0,0.0
ITP-00297,RU,DE,6831286.0,6831286.0,51611658.0,51611658.0
ITP-00305,DE,NL,0.0,0.0,0.0,0.0
ITP-00305,NL,DE,0.0,12212.0,3117.8,12212.0
ITP-00307,HU,UA,8613957.0,0.0,6680000.0,8613957.0
ITP-00308,AT,DE,0.0,5380800.0,2887091.0,5380800.0
ITP-00308,DE,AT,0.0,1580600.0,2424451.0,2424451.0
ITP-00451,DE,CZ,0.0,7932260.0,24266816.0,24266816.0
ITP-00452,DE,CZ,0.0,15864532.0,24810817.0,24810817.0
ITP-00454,RU,DE,3966130.0,9078944.0,42947819.0,42947819.0
ITP-00491,RU,DE,0.0,7182112.0,52177973.0,52177973.0
ITP-00495,UK,IE,0.0,0.0,0.0,0.0
ITP-00497,DE,PL,0.0,2029300.0,1493197624.974,1493197624.974
ITP-00497,PL,DE,0.0,3624.0,10764.231000000002,10764.231000000002
ITP-00501,DE,RU,0.0,0.0,0.0,0.0
ITP-00501,RU,DE,0.0,20251345.0,0.0,20251345.0
ITP-00519,BE,FR,0.0,0.0,0.0,0.0
ITP-00519,FR,BE,7845375.0,10387500.0,0.0,18232875.0
ITP-00525,NO,DE,0.0,6383265.0,32001380.051,32001380.051
ITP-00526,BE,FR,0.0,32205000.0,24331444.9,32205000.0
ITP-00526,FR,BE,0.0,5802869.0,45569608.0,45569608.0
ITP-00535,CZ,DE,0.0,0.0,0.0,0.0
ITP-00535,DE,CZ,0.0,21195455.0,29605547.0,29605547.0
ITP-00537,CZ,DE,9999998.0,13963674.0,23549491.0,23963672.0
ITP-00537,DE,CZ,9999999.0,5779226.0,63631242.0,63631242.0
ITP-00538,CZ,DE,0.0,25677254.0,36301292.0,36301292.0
ITP-00538,DE,CZ,0.0,0.0,0.0,0.0
ITP-00539,AT,DE,0.0,6661899.0,8772024.0,8772024.0
ITP-00539,DE,AT,0.0,7684819.0,10618080.0,10618080.0
ITP-00540,DE,FR,9999999999999.0,13234279.0,10944000.0,10000013234278.0
ITP-00540,FR,DE,9999999999999.0,1340276.0,0.0,10000001340275.0
ITP-00542,BE,DE,0.0,11300000.0,6632058.0,11300000.0
ITP-00542,DE,BE,0.0,11181000.0,0.0,11181000.0
ITP-00544,CH,DE,2000000.0,7590000.0,0.0,9590000.0
ITP-00544,DE,CH,15300000.0,8716924.0,14419741.0,24016924.0
ITP-00551,DE,NL,999999999.0,18950000.0,0.0,1018949999.0
ITP-00551,NL,DE,999999999.0,26040000.0,0.0,1026039999.0
ITP-00552,DE,NL,999999999.0,0.0,0.0,999999999.0
ITP-00552,NL,DE,999999999.0,39000000.0,0.0,1038999999.0
ITP-00553,DE,NL,999999999.0,0.0,0.0,999999999.0
ITP-00553,NL,DE,999999999.0,9000000.0,0.0,1008999999.0
ITP-00554,DE,NL,999999999.0,17900000.0,0.0,1017899999.0
ITP-00554,NL,DE,999999999.0,12200000.0,0.0,1012199999.0
ITP-00555,BE,NL,999999999.0,13800000.0,0.0,1013799999.0
ITP-00555,NL,BE,999999999.0,36500000.0,0.0,1036499999.0
ITP-10006,HU,UA,40606351.0,0.0,0.0,40606351.0
ITP-10006,UA,HU,19121377.0,21484974.0,0.0,40606351.0
LNG-00005,BE,FR,0.0,0.0,0.0,0.0
LNG-00005,FR,BE,0.0,0.0,0.0,0.0
UGS-00001,DE,NL,999999999.0,999999999.0,525982.0,1999999998.0
UGS-00001,NL,DE,999999999.0,999999999.0,154166.7,1999999998.0
UGS-00265,DE,NL,999999999.0,999999999.0,4286805.6,1999999998.0
UGS-00265,NL,DE,999999999.0,999999999.0,3470833.0,1999999998.0
UGS-00266,DE,NL,999999999.0,999999999.0,6562639.0,1999999998.0
UGS-00266,NL,DE,999999999.0,999999999.0,1867639.0,1999999998.0
UGS-00267,DE,NL,999999999.0,999999999.0,5750278.0,1999999998.0
UGS-00267,NL,DE,999999999.0,999999999.0,3864722.2,1999999998.0
UGS-00268,DE,NL,999999999.0,999999999.0,5745277.8,1999999998.0
UGS-00268,NL,DE,999999999.0,999999999.0,4113703.7,1999999998.0
UGS-00269,DE,NL,999999999.0,4312000.0,1899363.6,1004311999.0
UGS-00269,NL,DE,999999999.0,2156000.0,1090000.0,1002155999.0
UGS-00270,DE,NL,999999999.0,4884723.0,4793977.5,1004884722.0
UGS-00270,NL,DE,999999999.0,3517000.0,1269583.3,1003516999.0
UGS-00271,DE,NL,0.0,3907778.0,3881805.6,3907778.0
UGS-00271,NL,DE,0.0,1953889.0,1909651.5,1953889.0
UGS-00395,DE,NL,999999999.0,23544362.0,6258121.0,1023544361.0
UGS-00395,NL,DE,999999999.0,23544362.0,2338888.9,1023544361.0
UGS-00396,DE,NL,999999999.0,23544362.0,1504594.0,1023544361.0
UGS-00396,NL,DE,999999999.0,23544362.0,648888.9,1023544361.0
UGS-00476,AT,DE,0.0,4731000.0,0.0,4731000.0
UGS-00476,DE,AT,0.0,4361000.0,0.0,4361000.0
ITP-00010,CZ,DE,0.0,0.0,0.0,0.0
ITP-00010,DE,CZ,0.0,0.0,24242831.0,24242831.0
ITP-00036,BG,MK,0.0,0.0,1324680.0,1324680.0
ITP-00039,FR,CH,0.0,0.0,11330694.0,11330694.0
ITP-00041,BG,TR,0.0,0.0,19535040.0,19535040.0
ITP-00045,NO,FR,0.0,0.0,25389256.0,25389256.0
ITP-00046,GR,TR,0.0,0.0,0.0,0.0
ITP-00046,TR,GR,0.0,0.0,2033618.0,2033618.0
ITP-00050,LT,RU,0.0,0.0,5139301.0,5139301.0
ITP-00051,CZ,SK,0.0,0.0,29382848.0,29382848.0
ITP-00051,SK,CZ,0.0,0.0,11836688.0,11836688.0
ITP-00054,LT,LV,0.0,0.0,2370399.0,2370399.0
ITP-00054,LV,LT,0.0,0.0,2023735.0,2023735.0
ITP-00058,BG,RO,0.0,0.0,2585322.0,2585322.0
ITP-00058,RO,BG,0.0,0.0,3787840.0,3787840.0
ITP-00059,BG,RO,0.0,0.0,0.0,0.0
ITP-00059,RO,BG,0.0,0.0,25993520.0,25993520.0
ITP-00074,LY,IT,0.0,0.0,12039435.1875,12039435.1875
ITP-00085,BY,LT,0.0,0.0,6306182.0,6306182.0
ITP-00089,UA,PL,0.0,0.0,6636123.0,6636123.0
ITP-00090,UK,IE,0.0,0.0,188822100.0,188822100.0
ITP-00092,BY,PL,0.0,0.0,7612836.0,7612836.0
ITP-00093,TN,IT,0.0,0.0,19872025.483125,19872025.483125
ITP-00094,BY,PL,0.0,0.0,258187.0,258187.0
ITP-00104,BY,PL,0.0,0.0,43646968.0,43646968.0
ITP-00115,FR,BE,0.0,0.0,0.0,0.0
ITP-00117,SK,UA,0.0,0.0,0.0,0.0
ITP-00117,UA,SK,0.0,0.0,92796930.0,92796930.0
ITP-00123,DE,CZ,0.0,0.0,0.0,0.0
ITP-00128,BG,GR,0.0,0.0,3964975.0,3964975.0
ITP-00128,GR,BG,0.0,0.0,1673559.0,1673559.0
ITP-00135,DE,DK,0.0,0.0,7362125.0,7362125.0
ITP-00135,DK,DE,0.0,0.0,0.0,0.0
ITP-00136,CH,IT,0.0,0.0,23341157.4445,23341157.4445
ITP-00137,DE,FR,0.0,0.0,11140776.0,11140776.0
ITP-00139,CZ,DE,0.0,0.0,36301323.0,36301323.0
ITP-00139,DE,CZ,0.0,0.0,0.0,0.0
ITP-00150,CZ,DE,0.0,0.0,0.0,0.0
ITP-00153,BG,RO,0.0,0.0,1114361.0,1114361.0
ITP-00153,RO,BG,0.0,0.0,636528.0,636528.0
ITP-00158,CZ,PL,0.0,0.0,1645661.0,1645661.0
ITP-00158,PL,CZ,0.0,0.0,0.0,0.0
ITP-00168,AT,SK,0.0,0.0,0.0,0.0
ITP-00168,SK,AT,0.0,0.0,72539330.0,72539330.0
ITP-00187,RU,EE,0.0,0.0,993902.628,993902.628
ITP-00243,RU,EE,0.0,0.0,0.0,0.0
ITP-00278,IT,CH,0.0,0.0,421436.25,421436.25
ITP-00280,PL,UA,0.0,0.0,3267188.0,3267188.0
ITP-00281,CH,FR,0.0,0.0,0.0,0.0
ITP-00281,FR,CH,0.0,0.0,3785190.8,3785190.8
ITP-00283,IT,SM,0.0,0.0,0.0,0.0
ITP-00286,ES,PT,0.0,0.0,64732083.0,64732083.0
ITP-00286,PT,ES,0.0,0.0,6843655.0,6843655.0
ITP-00304,ES,FR,0.0,0.0,22188101.0,22188101.0
ITP-00304,FR,ES,0.0,0.0,31331125.0,31331125.0
ITP-00421,SK,UA,0.0,0.0,38104668.0,38104668.0
ITP-00421,UA,SK,0.0,0.0,0.0,0.0
ITP-00549,TR,BG,0.0,0.0,13851647.0,13851647.0
